date,sector,above_50sma,above_200sma,new_52w_high,new_52w_low
2024-10-04,Energy,90.9090909090909,,,
2024-10-04,Financials,92.10526315789474,,,
2024-10-04,Health Care,45.0,,,
2024-10-04,Industrials,86.07594936708861,,,
2024-10-04,Information Technology,79.71014492753623,,,
2024-10-04,Materials,80.76923076923077,,,
2024-10-04,Real Estate,67.74193548387096,,,
2024-10-04,Utilities,93.54838709677419,,,
2024-10-11,Communication Services,73.91304347826086,,,
2024-10-11,Consumer Discretionary,81.25,,,
2024-10-11,Consumer Staples,41.66666666666667,,,
2024-10-11,Energy,95.45454545454545,,,
2024-10-11,Financials,94.73684210526315,,,
2024-10-11,Health Care,55.00000000000001,,,
2024-10-11,Industrials,91.13924050632912,,,
2024-10-11,Information Technology,85.5072463768116,,,
2024-10-11,Materials,88.46153846153845,,,
2024-10-11,Real Estate,58.06451612903226,,,
2024-10-11,Utilities,64.51612903225806,,,
2024-10-18,Communication Services,78.26086956521739,86.95652173913044,,
2024-10-18,Consumer Discretionary,91.66666666666666,83.33333333333334,,
2024-10-18,Consumer Staples,50.0,75.0,,
2024-10-18,Energy,50.0,50.0,,
2024-10-18,Financials,96.05263157894737,97.36842105263158,,
2024-10-18,Health Care,53.333333333333336,66.10169491525424,,
2024-10-18,Industrials,89.87341772151899,87.17948717948718,,
2024-10-18,Information Technology,75.36231884057972,72.46376811594203,,
2024-10-18,Materials,84.61538461538461,76.92307692307693,,
2024-10-18,Real Estate,77.41935483870968,90.32258064516128,,
2024-10-18,Utilities,90.32258064516128,96.7741935483871,,
2024-10-25,Communication Services,73.91304347826086,82.6086956521739,,
2024-10-25,Consumer Discretionary,60.416666666666664,77.08333333333334,,
2024-10-25,Consumer Staples,22.22222222222222,55.55555555555556,,
2024-10-25,Energy,50.0,45.45454545454545,,
2024-10-25,Financials,78.94736842105263,97.36842105263158,,
2024-10-25,Health Care,31.666666666666664,52.54237288135594,,
2024-10-25,Industrials,63.29113924050633,76.92307692307693,,
2024-10-25,Information Technology,68.11594202898551,65.21739130434783,,
2024-10-25,Materials,53.84615384615385,73.07692307692307,,
2024-10-25,Real Estate,45.16129032258064,83.87096774193549,,
2024-10-25,Utilities,74.19354838709677,96.7741935483871,,
2024-11-01,Communication Services,86.95652173913044,86.95652173913044,,
2024-11-01,Consumer Discretionary,56.25,70.83333333333334,,
2024-11-01,Consumer Staples,25.0,41.66666666666667,,
2024-11-01,Energy,40.909090909090914,40.909090909090914,,
2024-11-01,Financials,69.73684210526315,93.42105263157895,,
2024-11-01,Health Care,38.333333333333336,54.23728813559322,,
2024-11-01,Industrials,58.22784810126582,80.76923076923077,,
2024-11-01,Information Technology,56.52173913043478,60.86956521739131,,
2024-11-01,Materials,46.15384615384615,65.38461538461539,,
2024-11-01,Real Estate,22.58064516129032,80.64516129032258,,
2024-11-01,Utilities,38.70967741935484,96.7741935483871,,
2024-11-08,Communication Services,86.95652173913044,86.95652173913044,,
2024-11-08,Consumer Discretionary,66.66666666666666,79.16666666666666,,
2024-11-08,Consumer Staples,33.33333333333333,50.0,,
2024-11-08,Energy,77.27272727272727,50.0,,
2024-11-08,Financials,89.47368421052632,96.05263157894737,,
2024-11-08,Health Care,45.0,52.54237288135594,,
2024-11-08,Industrials,79.74683544303798,87.17948717948718,,
2024-11-08,Information Technology,75.36231884057972,75.36231884057972,,
2024-11-08,Materials,53.84615384615385,65.38461538461539,,
2024-11-08,Real Estate,61.29032258064516,80.64516129032258,,
2024-11-08,Utilities,45.16129032258064,96.7741935483871,,
2024-11-15,Communication Services,78.26086956521739,91.30434782608695,,
2024-11-15,Consumer Discretionary,56.25,70.83333333333334,,
2024-11-15,Consumer Staples,30.555555555555557,33.33333333333333,,
2024-11-15,Energy,77.27272727272727,54.54545454545454,,
2024-11-15,Financials,88.1578947368421,96.05263157894737,,
2024-11-15,Health Care,35.0,38.983050847457626,,
2024-11-15,Industrials,67.08860759493672,84.61538461538461,,
2024-11-15,Information Technology,53.62318840579711,66.66666666666666,,
2024-11-15,Materials,42.30769230769231,50.0,,
2024-11-15,Real Estate,35.483870967741936,74.19354838709677,,
2024-11-15,Utilities,51.61290322580645,96.7741935483871,,
2024-11-22,Communication Services,82.6086956521739,91.30434782608695,,
2024-11-22,Consumer Discretionary,64.58333333333334,79.16666666666666,,
2024-11-22,Consumer Staples,38.88888888888889,44.44444444444444,,
2024-11-22,Energy,90.9090909090909,54.54545454545454,,
2024-11-22,Financials,90.78947368421053,98.68421052631578,,
2024-11-22,Health Care,43.333333333333336,42.3728813559322,,
2024-11-22,Industrials,72.15189873417721,87.17948717948718,,
2024-11-22,Information Technology,66.66666666666666,68.11594202898551,,
2024-11-22,Materials,50.0,61.53846153846154,,
2024-11-22,Real Estate,51.61290322580645,83.87096774193549,,
2024-11-22,Utilities,64.51612903225806,96.7741935483871,,
2024-11-29,Communication Services,91.30434782608695,91.30434782608695,,
2024-11-29,Consumer Discretionary,72.91666666666666,83.33333333333334,,
2024-11-29,Consumer Staples,50.0,55.55555555555556,,
2024-11-29,Energy,72.72727272727273,54.54545454545454,,
2024-11-29,Financials,94.73684210526315,100.0,,
2024-11-29,Health Care,51.66666666666667,47.45762711864407,,
2024-11-29,Industrials,77.21518987341773,88.46153846153845,,
2024-11-29,Information Technology,69.56521739130434,73.91304347826086,,
2024-11-29,Materials,53.84615384615385,61.53846153846154,,
2024-11-29,Real Estate,74.19354838709677,90.32258064516128,,
2024-11-29,Utilities,87.09677419354838,96.7741935483871,,
2024-12-06,Communication Services,91.30434782608695,91.30434782608695,,
2024-12-06,Consumer Discretionary,72.91666666666666,83.33333333333334,,
2024-12-06,Consumer Staples,47.22222222222222,44.44444444444444,,
2024-12-06,Energy,45.45454545454545,45.45454545454545,,
2024-12-06,Financials,84.21052631578947,96.05263157894737,,
2024-12-06,Health Care,40.0,42.3728813559322,,
2024-12-06,Industrials,63.29113924050633,84.61538461538461,,
2024-12-06,Information Technology,68.11594202898551,73.91304347826086,,
2024-12-06,Materials,46.15384615384615,53.84615384615385,,
2024-12-06,Real Estate,45.16129032258064,83.87096774193549,,
2024-12-06,Utilities,45.16129032258064,93.54838709677419,,
2024-12-13,Communication Services,82.6086956521739,86.95652173913044,,
2024-12-13,Consumer Discretionary,62.5,79.16666666666666,,
2024-12-13,Consumer Staples,47.22222222222222,47.22222222222222,,
2024-12-13,Energy,36.36363636363637,45.45454545454545,,
2024-12-13,Financials,68.42105263157895,92.10526315789474,,
